   DEBUG,05/24/2013 14:35:06.600,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406105.456364#DoneOneRoundConnMeasure$1369406105.619350
   DEBUG,05/24/2013 14:35:06.799,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406106.601068#DoneFindSk$1369406106.607903$1001#DoneWeb10GMeasure$1369406106.771693$1001#DoneOneRoundConnMeasure$1369406106.798957
   DEBUG,05/24/2013 14:35:07.456,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406106.600379#ScheduleDone$1369406106.600599#DoneFindSk$1369406106.607917$1001#DoneWeb10GMeasure$1369406106.771724$1001#StartRunGoOfJobFlow$1369406106.798912$61$2
   DEBUG,05/24/2013 14:35:07.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406106.600389#DoneOneRoundConnMeasure$1369406106.798973
   DEBUG,05/24/2013 14:35:07.707,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406107.457238#DoneFindSk$1369406107.463037$1001#DoneWeb10GMeasure$1369406107.666446$1001#DoneOneRoundConnMeasure$1369406107.707625
   DEBUG,05/24/2013 14:35:08.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406107.456842#ScheduleDone$1369406107.457068#DoneFindSk$1369406107.463047$1001#DoneWeb10GMeasure$1369406107.666487$1001#StartRunGoOfJobFlow$1369406107.707531$61$2
   DEBUG,05/24/2013 14:35:08.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406107.456855#DoneOneRoundConnMeasure$1369406107.707636
   DEBUG,05/24/2013 14:35:08.654,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406108.456949#DoneFindSk$1369406108.463047$1001#DoneWeb10GMeasure$1369406108.620344$1001#DoneOneRoundConnMeasure$1369406108.654087
   DEBUG,05/24/2013 14:35:09.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406108.456404#ScheduleDone$1369406108.456709#DoneFindSk$1369406108.463060$1001#DoneWeb10GMeasure$1369406108.620372$1001#StartRunGoOfJobFlow$1369406108.654032$61$2
   DEBUG,05/24/2013 14:35:09.455,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406108.456416#DoneOneRoundConnMeasure$1369406108.654096
   DEBUG,05/24/2013 14:35:09.729,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406109.456839#DoneFindSk$1369406109.468072$1001#DoneWeb10GMeasure$1369406109.681502$1001#DoneOneRoundConnMeasure$1369406109.728858
   DEBUG,05/24/2013 14:35:10.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406109.455980#ScheduleDone$1369406109.456215#DoneFindSk$1369406109.468083$1001#DoneWeb10GMeasure$1369406109.681583$1001#StartRunGoOfJobFlow$1369406109.728695$61$2
   DEBUG,05/24/2013 14:35:10.455,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406109.455990#DoneOneRoundConnMeasure$1369406109.728867
   DEBUG,05/24/2013 14:35:10.674,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406110.456165#DoneFindSk$1369406110.462901$1001#DoneWeb10GMeasure$1369406110.622002$1001#DoneOneRoundConnMeasure$1369406110.674001
   DEBUG,05/24/2013 14:35:11.456,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406110.455662#ScheduleDone$1369406110.455929#DoneFindSk$1369406110.462916$1001#DoneWeb10GMeasure$1369406110.622034$1001#StartRunGoOfJobFlow$1369406110.673869$61$2
   DEBUG,05/24/2013 14:35:11.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406110.455672#DoneOneRoundConnMeasure$1369406110.674010
   DEBUG,05/24/2013 14:35:11.648,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406111.457151#DoneFindSk$1369406111.460902$1001#DoneWeb10GMeasure$1369406111.618510$1001#DoneOneRoundConnMeasure$1369406111.648527
   DEBUG,05/24/2013 14:35:12.455,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406111.456669#ScheduleDone$1369406111.456942#DoneFindSk$1369406111.460913$1001#DoneWeb10GMeasure$1369406111.618566$1001#StartRunGoOfJobFlow$1369406111.648713$61$2
   DEBUG,05/24/2013 14:35:12.456,        agentUtil,              EvalLog, 99,MeasureLatency,Begin$1369406111.456682#DoneOneRoundConnMeasure$1369406111.648539
   DEBUG,05/24/2013 14:35:12.689,        agentUtil,              EvalLog, 99,OneRoundOfConnMeasure,Begin$1369406112.458359#DoneFindSk$1369406112.474046$1001#DoneWeb10GMeasure$1369406112.663110$1001#DoneOneRoundConnMeasure$1369406112.689549
   DEBUG,05/24/2013 14:35:13.456,        agentUtil,              EvalLog, 99,JobExecutionLoop,Begin$1369406112.456556#ScheduleDone$1369406112.457777#DoneFindSk$1369406112.474111$1001#DoneWeb10GMeasure$1369406112.663143$1001#StartRunGoOfJobFlow$1369406112.689460$61$2
